synset,pos,gloss,emotion
SID-02470962-V,verb,deprive of freedom; take into confinement,disgust
SID-07442088-N,noun,"a positive feeling of liking; ""he had trouble expressing the affection he felt""; ""the child won everyone's heart""; ""the warmness of his welcome made us feel right at home""",love
SID-00278298-N,noun,the act of moving forward toward a goal,anticipation
SID-13266352-N,noun,"a strong flame that burns brightly; ""the blaze spread rapidly""",fear
SID-07443702-N,noun,a warmhearted feeling,love
SID-01757422-V,verb,"find repugnant; ""I loathe that man""; ""She abhors cats""",disgust
SID-00893193-A,adjective,"effusively or insincerely emotional; ""a bathetic novel""; ""maudlin expressions of sympathy""; ""mushy effusiveness""; ""a schmaltzy song""; ""sentimental soap operas""; ""slushy poetry""",disgust
SID-07446813-N,noun,a feeling of sulky resentment,disgust
SID-02457991-A,adjective,"used of the study of a phenomenon (especially language) as it changes through time; ""diachronic linguistics""",anticipation
SID-00278943-R,adverb,"directly; ""he ran bang into the pole""; ""ran slap into her""",disgust
SID-00704456-A,adjective,"supremely favored or fortunate; ""golden lads and girls all must / like chimney sweepers come to dust""",hope
SID-00660036-V,verb,"put up with something or somebody unpleasant; ""I cannot bear his constant criticism""; ""The new secretary had to endure a lot of unprofessional remarks""; ""he learned to tolerate the heat""; ""She stuck out two years in a miserable marriage""",disgust
SID-07441570-N,noun,intense feeling of love,love
SID-10379890-N,noun,an artist of the Romantic Movement or someone influenced by Romanticism,love
SID-00911742-V,verb,"imagine to be the case or true or probable; ""I suspect he is a fugitive""; ""I surmised that the butler did it""",ambiguous
SID-02655013-V,verb,"put an end to a state or an activity; ""Quit teasing your little brother""",disgust
SID-13097609-N,noun,"something given for victory or superiority in a contest or competition or for winning a lottery; ""the prize was a free trip to Europe""",like
SID-00939655-N,noun,"a hostile meeting of opposing military forces in the course of a war; ""Grant won a decisive victory in the battle of Chickamauga""; ""he lost his romantic ideas about war when he got into a real engagement""",fear
SID-01921787-A,adjective,"pertaining to or constituting a base or basis; ""a basic fact""; ""the basic ingredients""; ""basic changes in public opinion occur because of changes in priorities""",ambiguous
SID-07424351-N,noun,emotions experienced when in a state of well-being,joy
SID-00289245-R,adverb,with compatibility,like
SID-01292393-A,adjective,"characterized by enmity or ill will; ""a hostile nation""; ""a hostile remark""; ""hostile actions""",disgust
SID-04575846-N,noun,"the quality of being cheerful and dispelling gloom; ""flowers added a note of cheerfulness to the drab room""",joy
SID-00113033-A,adjective,"more than enough in size or scope or capacity; ""had ample food for the party""; ""an ample supply""",like
SID-07402230-N,noun,"a feeling of thankfulness and appreciation; ""he was overwhelmed with gratitude for their help""",like
SID-00683986-A,adjective,"fraught with extreme danger; nearly hopeless; ""a desperate illness""; ""on all fronts the Allies were in a desperate situation due to lack of materiel""- G.C.Marshall; ""a dire emergency""",fear
SID-01810926-V,verb,"regard with contempt; ""the new neighbor looks down on us because our house is very modest""",disgust
SID-00549158-N,noun,violently angry and destructive behavior,fear
SID-00763186-A,adjective,"not independent; ""dependent children""",disgust
SID-02554084-V,verb,"conform one's action or practice to; ""keep appointments""; ""she never keeps her promises""; ""We kept to the original conditions of the contract""",like
SID-09627179-N,noun,someone who manages a government agency or department,like
SID-03198404-N,noun,a pipe through which liquid is carried away,disgust
SID-07350226-N,noun,the social event at which the ceremony of marriage is performed,like
SID-00912994-A,adjective,"quick and energetic; ""a brisk walk in the park""; ""a lively gait""; ""a merry chase""; ""traveling at a rattling rate""; ""a snappy pace""; ""a spanking breeze""",anticipation
SID-07220104-N,noun,"the event of being born; ""they celebrated the birth of their first child""",calmness
SID-00071684-R,adverb,"not far away in relative terms; ""she works nearby""; ""the planets orbiting nearby are Venus and Mars""",like
SID-08532219-N,noun,"an area reserved for some particular purpose; ""the laboratory's floor space""",anticipation
SID-02175248-V,verb,"upset and make nauseated; ""The smell of the food turned the pregnant woman's stomach""; ""The mold on the food sickened the diners""",disgust
SID-00187221-A,adjective,"capturing interest as if by a spell; ""bewitching smile""; ""Roosevelt was a captivating speaker""; ""enchanting music""; ""an enthralling book""; ""antique papers of entrancing design""; ""a fascinating woman""",like
SID-00947853-A,adjective,marked by exaggerated feelings of euphoria and delusions of grandeur,joy
SID-00860250-A,adjective,"free from worry or anxiety; ""knowing that I had done my best, my mind was easy""; ""an easy good-natured manner""; ""by the time the chsild faced the actual problem of reading she was familiar and at ease with all the elements words""",calmness
SID-00167447-A,adjective,"marked by skill in deception; ""cunning men often pass for wise""; ""deep political machinations""; ""a foxy scheme""; ""a slick evasive answer""; ""sly as a fox""; ""tricky Dick""; ""a wily old attorney""",disgust
SID-07443035-N,noun,"a sentimental affection; ""she had a soft spot for her youngest son""",love
SID-01644125-A,adjective,"pleasant or pleasing or agreeable in nature or appearance; ""what a nice fellow you are and we all thought you so nasty""- George Meredith; ""nice manners""; ""a nice dress""; ""a nice face""; ""a nice day""; ""had a nice time at the party""; ""the corn and tomatoes are nice today""",like
SID-01192852-A,adjective,"feeling or showing gratitude; ""a grateful heart""; ""grateful for the tree's shade""; ""a thankful smile""",like
SID-01796740-V,verb,feel happiness or joy,joy
SID-01119867-A,adjective,"not easy to understand or use; ""user-unfriendly""",disgust
SID-00009022-R,adverb,"completely and without qualification; used informally as intensifiers; ""an absolutely magnificent painting""; ""a perfectly idiotic idea""; ""you're perfectly right""; ""utterly miserable""; ""you can be dead sure of my innocence""; ""was dead tired""; ""dead right""",anticipation
SID-00733092-N,noun,an act that injures someone,disgust
SID-02581486-A,adjective,not capable of being used,disgust
SID-08069519-N,noun,"a large number of things or people considered together; ""a crowd of insects assembled around the flowers""",disgust
SID-01686077-A,adjective,"giving no offense; ""a quiet inoffensive man""; ""a refreshing inoffensive stimulant""",like
SID-02529752-V,verb,sell one's body; exchange sex for money,disgust
SID-02593061-V,verb,"continue to live; endure or last; ""We went without water and food for 3 days""; ""These superstitions survive in the backwaters of America""; ""The race car driver lived through several very serious accidents""; ""how long can a person last without food and water?""",hope
SID-00947580-A,adjective,exaggerated feeling of well-being or elation,joy
SID-08204712-N,noun,a national legislative assembly,anticipation
SID-07435529-N,noun,depression resulting from an undermining of your morale,sadness
SID-00797994-V,verb,"give sanction to; ""I approve of his educational policies""",like
SID-07408363-N,noun,a feeling of stupefied astonishment,surprise
SID-07837963-N,noun,"people who are no longer living; ""they buried the dead""",sadness
SID-00770814-A,adjective,"causing envy; ""an enviable position""",disgust
SID-07447781-N,noun,wishing evil to others,disgust
SID-00254999-V,verb,"crack; of the male voice in puberty; ""his voice is breaking--he should no longer sing in the choir""",disgust
SID-01146440-A,adjective,"having a specific function or scope; ""a special (or specific) role in the mission""",disgust
SID-13837863-N,noun,a state of heightened physiological activity,love
SID-05561265-N,noun,"(theology) in Roman Catholicism, the place of unbaptized but innocent or righteous souls (such as infants and virtuous individuals)",disgust
SID-07410192-N,noun,an earnest and sincere feeling,anticipation
SID-00442347-R,adverb,"in a reassuring manner; ""the prime minister pointed reassuringly to the silence of the British press""",calmness
SID-00184078-A,adjective,"(often followed by `to') giving care or attention; ""attentive to details""; ""the nurse was attentive to her patient""; ""an attentive suitor""",like
SID-06603724-N,noun,"an expression of approval and commendation; ""he always appreciated praise for his work""",love
SID-01959384-V,verb,"let fall to the ground; ""Don't drop the dishes""",disgust
SID-00411998-R,adverb,"near in time or place or relationship; ""as the wedding day drew near""; ""stood near the door""; ""don't shoot until they come near""; ""getting near to the true explanation""; ""her mother is always near""; ""The end draws nigh""; ""the bullet didn't come close""; ""don't get too close to the fire""",joy
SID-00938869-A,adjective,"having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding; ""mysterious symbols""; ""the mystical style of Blake""; ""occult lore""; ""the secret learning of the ancients""",ambiguous
SID-07433612-N,noun,a feeling of deep regret (usually for some misdeed),sadness
SID-02655049-A,adjective,"incongruous;inviting ridicule; ""the absurd excuse that the dog ate his homework""; ""that's a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a cottage a mansion""; ""a preposterous attempt to turn back the pages of history""; ""her conceited assumption of universal interest in her rather dull children was ridiculous""",disgust
